Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 00:05:08 CEST 2024
SLURM_JOB_ID: 23135
using cuda
episode: 28400 | avg score: 36.8 | learning_steps: 10713
episode: 28500 | avg score: 29.8 | learning_steps: 10752
episode: 28600 | avg score: 57.3 | learning_steps: 10791
episode: 28700 | avg score: 49.9 | learning_steps: 10829
episode: 28800 | avg score: 47.4 | learning_steps: 10867
episode: 28900 | avg score: 62.6 | learning_steps: 10906
episode: 29000 | avg score: 43.9 | learning_steps: 10944
episode: 29100 | avg score: 49.7 | learning_steps: 10983
episode: 29200 | avg score: 41.7 | learning_steps: 11022
episode: 29300 | avg score: 45.9 | learning_steps: 11060
episode: 29400 | avg score: 64.0 | learning_steps: 11098
episode: 29500 | avg score: 103.0 | learning_steps: 11135
episode: 29600 | avg score: 106.7 | learning_steps: 11171
episode: 29700 | avg score: 112.0 | learning_steps: 11209
episode: 29800 | avg score: 90.7 | learning_steps: 11245
episode: 29900 | avg score: 76.7 | learning_steps: 11281
finished at: Thu Jun 27 02:04:05 CEST 2024
